Language	Zero-Shot Performance (Mean)	Zero-Shot Performance (Stdev)	Translate-Test (Mean)	Translate-Test (Stdev)	Cross-Lingual Gap	Concept Shift Gap
en_dev	69.81261426	1.00513816	69.81261426	1.00513816	0	0
hi	50.9	0.9591663047	58.31663327	2.606494725	7.416633267	11.49598099
id	57.03947368	0.6733087099	62.14912281	1.306006517	5.109649123	7.663491453
jv	53.83333333	1.496910398	59.83333333	0.7071067812	6	9.979280926
kn	51.60684474	0.618579134	56.19782972	0.7752160109	4.590984975	13.61478454
su	52.04166667	1.31497782	58.16666667	2.937623126	6.125	11.64594759
sw	51.79872495	2.109022983	62.3066424	1.016980208	10.50791745	7.505971857
