Language/Seed 	10            	31            	32            	33            	81
hi            	 0.5611222445 	 0.498997996  	 0.5601202405 	 0.6072144289 	 0.6042084168
id            	 0.6359649123 	 0.5          	 0.6210526316 	 0.6245614035 	 0.6043859649
jv            	 0.6033333333 	 0.49         	 0.5983333333 	 0.6033333333 	 0.5883333333
kn            	 0.5717863105 	 0.4883138564 	 0.5542570952 	 0.5575959933 	 0.5642737896
su            	 0.6233333333 	 0.5683333333 	 0.5666666667 	 0.5566666667 	 0.58
sw            	 0.6260236579 	 0.491355778  	 0.6169244768 	 0.6132848044 	 0.6360327571
en_dev        	 0.7065813528 	 0.5          	 0.6837294333 	 0.6992687386 	 0.7029250457
