Language	Zero-Shot Performance (Mean)	Zero-Shot Performance (Stdev)	Translate-Test (Mean)	Translate-Test (Stdev)	Cross-Lingual Gap	Concept Shift Gap
en_dev	65.85009141	8.903126631	65.85009141	8.903126631		
hi	50.74	0.9044335244	56.63326653	4.389074943	5.893266533	9.216824875
id	55.49122807	3.510745059	59.71929825	5.54972763	4.228070175	6.130793162
jv	52.93333333	2.393857881	57.66666667	4.883361775	4.733333333	8.183424741
kn	51.38564274	0.7291308114	54.7245409	3.362085596	3.338898164	11.12555051
su	51.46666667	1.717556404	57.9	2.61300168	6.433333333	7.950091408
sw	51.00182149	2.55171689	59.67242948	5.955759827	8.670607988	6.177661926
