Language/Seed 	10            	31            	32            	33            	81
hi            	 0.502        	 0.501        	 0.514        	 0.52         	 0.5
id            	 0.5736842105 	 0.4929824561 	 0.5631578947 	 0.5666666667 	 0.5780701754
jv            	 0.52         	 0.4933333333 	 0.5383333333 	 0.5383333333 	 0.5566666667
kn            	 0.5075125209 	 0.5050083472 	 0.5217028381 	 0.5191986644 	 0.5158597663
su            	 0.515        	 0.4916666667 	 0.535        	 0.505        	 0.5266666667
sw            	 0.4981785064 	 0.4781420765 	 0.5400728597 	 0.5018214936 	 0.5318761384
en_dev        	 0.7065813528 	 0.5          	 0.6837294333 	 0.6992687386 	 0.7029250457
